row_id,tree_level,toc_id,toc_depth,title,page_start,next_page_start,parent_row_id,parent_toc_id,path_titles,path_ids,safe_title,safe_toc_id,file_stub,line_number,split_pdf_relpath,split_md_relpath,split_pdf_exists,split_md_exists
1,1,1,1,实在论,13,27,,,实在论,1,实在论,1,0001__1__实在论__p13,8,split_pdf/1_实在论/0001_1_实在论_p13.pdf,split_md/1_实在论/0001_1_实在论_p13.md,0,1
2,2,1-1,2,科学实在论,27,37,1,1,实在论 / 科学实在论,1 / 1-1,科学实在论,1-1,0002__1-1__科学实在论__p27,9,split_pdf/1_实在论/1-1_科学实在论/0002_1-1_科学实在论_p27.pdf,split_md/1_实在论/1-1_科学实在论/0002_1-1_科学实在论_p27.md,0,1
3,2,1-1,2,复习课,37,44,1,1,实在论 / 复习课,1 / 1-1,复习课,1-1,0003__1-1__复习课__p37,10,split_pdf/1_实在论/1-1_复习课/0003_1-1_复习课_p37.pdf,split_md/1_实在论/1-1_复习课/0003_1-1_复习课_p37.md,0,1
4,3,1-1-1,3,物理主义,44,80,3,1-1,实在论 / 复习课 / 物理主义,1 / 1-1 / 1-1-1,物理主义,1-1-1,0004__1-1-1__物理主义__p44,11,split_pdf/1_实在论/1-1_复习课/1-1-1_物理主义/0004_1-1-1_物理主义_p44.pdf,split_md/1_实在论/1-1_复习课/1-1-1_物理主义/0004_1-1-1_物理主义_p44.md,0,1
5,4,1-1-1-1,4,科学独断论,80,99,4,1-1-1,实在论 / 复习课 / 物理主义 / 科学独断论,1 / 1-1 / 1-1-1 / 1-1-1-1,科学独断论,1-1-1-1,0005__1-1-1-1__科学独断论__p80,12,split_pdf/1_实在论/1-1_复习课/1-1-1_物理主义/1-1-1-1_科学独断论/0005_1-1-1-1_科学独断论_p80.pdf,split_md/1_实在论/1-1_复习课/1-1-1_物理主义/1-1-1-1_科学独断论/0005_1-1-1-1_科学独断论_p80.md,0,1
6,4,1-1-1-2,4,有机进化论,99,121,4,1-1-1,实在论 / 复习课 / 物理主义 / 有机进化论,1 / 1-1 / 1-1-1 / 1-1-1-2,有机进化论,1-1-1-2,0006__1-1-1-2__有机进化论__p99,13,split_pdf/1_实在论/1-1_复习课/1-1-1_物理主义/1-1-1-2_有机进化论/0006_1-1-1-2_有机进化论_p99.pdf,split_md/1_实在论/1-1_复习课/1-1-1_物理主义/1-1-1-2_有机进化论/0006_1-1-1-2_有机进化论_p99.md,0,1
7,4,1-1-1-3,4,科学消费主义,121,149,4,1-1-1,实在论 / 复习课 / 物理主义 / 科学消费主义,1 / 1-1 / 1-1-1 / 1-1-1-3,科学消费主义,1-1-1-3,0007__1-1-1-3__科学消费主义__p121,14,split_pdf/1_实在论/1-1_复习课/1-1-1_物理主义/1-1-1-3_科学消费主义/0007_1-1-1-3_科学消费主义_p121.pdf,split_md/1_实在论/1-1_复习课/1-1-1_物理主义/1-1-1-3_科学消费主义/0007_1-1-1-3_科学消费主义_p121.md,0,1
8,4,1-1-1-4,4,宇宙悲观主义,149,198,4,1-1-1,实在论 / 复习课 / 物理主义 / 宇宙悲观主义,1 / 1-1 / 1-1-1 / 1-1-1-4,宇宙悲观主义,1-1-1-4,0008__1-1-1-4__宇宙悲观主义__p149,15,split_pdf/1_实在论/1-1_复习课/1-1-1_物理主义/1-1-1-4_宇宙悲观主义/0008_1-1-1-4_宇宙悲观主义_p149.pdf,split_md/1_实在论/1-1_复习课/1-1-1_物理主义/1-1-1-4_宇宙悲观主义/0008_1-1-1-4_宇宙悲观主义_p149.md,0,1
9,3,1-1-2,3,建构论,198,214,3,1-1,实在论 / 复习课 / 建构论,1 / 1-1 / 1-1-2,建构论,1-1-2,0009__1-1-2__建构论__p198,16,split_pdf/1_实在论/1-1_复习课/1-1-2_建构论/0009_1-1-2_建构论_p198.pdf,split_md/1_实在论/1-1_复习课/1-1-2_建构论/0009_1-1-2_建构论_p198.md,0,1
10,4,1-1-2-1,4,科学知识社会学,214,242,9,1-1-2,实在论 / 复习课 / 建构论 / 科学知识社会学,1 / 1-1 / 1-1-2 / 1-1-2-1,科学知识社会学,1-1-2-1,0010__1-1-2-1__科学知识社会学__p214,17,split_pdf/1_实在论/1-1_复习课/1-1-2_建构论/1-1-2-1_科学知识社会学/0010_1-1-2-1_科学知识社会学_p214.pdf,split_md/1_实在论/1-1_复习课/1-1-2_建构论/1-1-2-1_科学知识社会学/0010_1-1-2-1_科学知识社会学_p214.md,0,1
11,4,1-1-2-2,4,科学革命论,242,258,9,1-1-2,实在论 / 复习课 / 建构论 / 科学革命论,1 / 1-1 / 1-1-2 / 1-1-2-2,科学革命论,1-1-2-2,0011__1-1-2-2__科学革命论__p242,18,split_pdf/1_实在论/1-1_复习课/1-1-2_建构论/1-1-2-2_科学革命论/0011_1-1-2-2_科学革命论_p242.pdf,split_md/1_实在论/1-1_复习课/1-1-2_建构论/1-1-2-2_科学革命论/0011_1-1-2-2_科学革命论_p242.md,0,1
12,4,1-1-2-3,4,文化本体论,258,282,9,1-1-2,实在论 / 复习课 / 建构论 / 文化本体论,1 / 1-1 / 1-1-2 / 1-1-2-3,文化本体论,1-1-2-3,0012__1-1-2-3__文化本体论__p258,19,split_pdf/1_实在论/1-1_复习课/1-1-2_建构论/1-1-2-3_文化本体论/0012_1-1-2-3_文化本体论_p258.pdf,split_md/1_实在论/1-1_复习课/1-1-2_建构论/1-1-2-3_文化本体论/0012_1-1-2-3_文化本体论_p258.md,0,1
13,4,1-1-2-4,4,解构建构论,282,296,9,1-1-2,实在论 / 复习课 / 建构论 / 解构建构论,1 / 1-1 / 1-1-2 / 1-1-2-4,解构建构论,1-1-2-4,0013__1-1-2-4__解构建构论__p282,20,split_pdf/1_实在论/1-1_复习课/1-1-2_建构论/1-1-2-4_解构建构论/0013_1-1-2-4_解构建构论_p282.pdf,split_md/1_实在论/1-1_复习课/1-1-2_建构论/1-1-2-4_解构建构论/0013_1-1-2-4_解构建构论_p282.md,0,1
14,3,1-1-3,3,认知主义,296,307,3,1-1,实在论 / 复习课 / 认知主义,1 / 1-1 / 1-1-3,认知主义,1-1-3,0014__1-1-3__认知主义__p296,21,split_pdf/1_实在论/1-1_复习课/1-1-3_认知主义/0014_1-1-3_认知主义_p296.pdf,split_md/1_实在论/1-1_复习课/1-1-3_认知主义/0014_1-1-3_认知主义_p296.md,0,1
15,4,1-1-3-1,4,功能主义,307,324,14,1-1-3,实在论 / 复习课 / 认知主义 / 功能主义,1 / 1-1 / 1-1-3 / 1-1-3-1,功能主义,1-1-3-1,0015__1-1-3-1__功能主义__p307,22,split_pdf/1_实在论/1-1_复习课/1-1-3_认知主义/1-1-3-1_功能主义/0015_1-1-3-1_功能主义_p307.pdf,split_md/1_实在论/1-1_复习课/1-1-3_认知主义/1-1-3-1_功能主义/0015_1-1-3-1_功能主义_p307.md,0,1
